catalog,genus_species,Sex,TotL,Tail,mass_g,Fl,Fdw,Fsw,Tl,Tpw,Tmw,Hl,Hdw,Hpw,Hsw,Ul,Uol,Usw,Rl,Mcl,Ppl,Mtl,Pppl,County,Locality Notes,Habitat,Other Notes
UF16909,Ochrotomys_nuttalli,M,161,72,16,14.53,2.68,1.12,,2.74,0.75,12.52,3.11,2.49,0.91,16.07,2.01,0.47,13.21,3.51,2.18,7.22,3.02,Marion,"CFBC 339, Site 14",Xeric Hammock,
UF16911,Ochrotomys_nuttalli,M,,,17.6,15.68,2.65,1.26,,2.67,0.83,12.96,3.04,2.46,1.02,16.12,1.84,0.46,13.63,3.53,2.41,6.69,,Marion,"CFBC 596, Site I",Xeric Hammock,
UF16912,Ochrotomys_nuttalli,F,,,,18.35,3.25,1.6,23.14,3.42,1.02,13.98,3.56,2.74,1.03,17.81,2.29,0.54,14.99,,2.49,8.78,3.16,Marion,"CFBC 598, Site I",Xeric Hammock,
UF17076,Ochrotomys_nuttalli,F,168,78,17.6,15.41,2.66,1.18,,2.69,0.79,12.4,3.14,2.56,0.98,16.33,1.94,0.44,13.85,3.52,2.23,6.88,2.75,Marion,"CFBC 1430, Site 125",Mesic Hammock,
UF17197,Ochrotomys_nuttalli,F,157,75,14.6,13.63,2.55,0.99,18.1,2.23,0.74,11.44,2.92,2.39,0.78,14.99,1.82,0.38,12.59,3.5,2.26,6.55,2.53,Marion,"CFBC 343, Site 15",Mesic Hammock,
UF17198,Ochrotomys_nuttalli,F,183,82,23,16.41,2.83,1.35,20.31,2.94,0.86,13.76,3.29,2.59,1.06,16.62,2.01,0.52,13.88,3.57,2.19,6.84,2.67,Marion,"CFBC 347, Site 16 ",Xeric Hammock,
UF17214,Ochrotomys_nuttalli,M,157,70,,14.57,2.85,1.12,,2.88,0.75,12.34,3.27,2.61,0.91,15.87,2.03,0.53,13.15,3.69,2.31,6.85,2.73,Marion,"CFBC 330, Site 16",Xeric Hammock,
UF17196,Ochrotomys_nuttalli,F,152,71,13.3,13.39,2.58,0.98,17.61,2.56,0.79,11.17,2.88,2.28,0.8,14.79,1.81,0.42,12.29,3.42,2.17,6.39,2.51,Marion,"CFBC 334, Site 14",Xeric Hammock,
UF26041,Ochrotomys_nuttalli,F,179,82,19,16.57,2.71,1.25,20.86,2.73,0.85,13.92,3.22,2.51,0.97,16.82,1.88,0.55,14.33,3.68,2.35,7.1,2.56,Citrus,FGFWFC  Donation,Mixed Hardwood-Coniferous Swamp,
UF16910,Ochrotomys_nuttalli,M,170,86,22.1,14.89,2.66,1.24,,2.79,0.83,12.29,3.01,2.44,0.97,16.12,1.81,0.47,13.48,3.57,,6.92,,Marion,"CFBC 572, Site 30",Xeric Hammock,
UF31473,Ochrotomys_nuttalli,M,147,72,12.2,14.22,2.88,1.18,18.56,2.82,0.83,12.02,3.23,2.53,0.92,15.69,1.98,0.45,12.93,3.68,2.31,7.15,2.78,Highlands,"Clements Unit, Sm #8",Baygall,
UF31474,Ochrotomys_nuttalli,M,135,65,11.6,12.91,2.65,1.12,17.38,2.63,0.74,10.89,3.07,2.35,0.84,14.43,1.77,0.42,11.88,3.42,2.14,6.72,2.56,Highlands,"Clements Unit, Sm #9",Baygall,
UF16918,Ochrotomys_nuttalli,F,160,78,17.9,14.26,2.52,1.08,18.48,2.52,0.81,11.95,2.94,2.39,0.83,17.45,1.92,0.44,13.28,3.44,2.2,6.66,2.63,Putnam,CFBC Site K,Mature Sand Pine Scrub,
UF16919,Ochrotomys_nuttalli,M,162,75,21,15.32,2.56,1.34,19.61,2.45,0.79,12.55,2.96,2.36,0.91,16.11,1.93,0.47,13.45,3.41,2.16,6.58,2.6,Putnam,CFBC Site K,Mature Sand Pine Scrub,
UF16920,Ochrotomys_nuttalli,F,177,87,,16.07,2.64,1.23,,2.69,0.82,12.82,2.89,2.49,0.93,16.56,1.97,0.49,13.93,3.66,2.33,7.09,2.66,Putnam,CFBC Site K,Mature Sand Pine Scrub,
UF16932,Ochrotomys_nuttalli,F,167,81,17.7,14.34,2.86,1.13,,2.77,0.76,11.95,2.97,2.49,0.87,15.89,1.96,0.44,13.25,3.41,,6.61,2.58,Putnam,CFBC Site K,Mature Sand Pine Scrub,
UF17185,Ochrotomys_nuttalli,M,163,67,16.8,15.24,2.73,1.15,19.66,2.8,0.72,12.52,2.95,2.46,0.89,15.98,1.84,0.43,13.41,3.43,2.25,6.79,2.64,Putnam,CFBC Site K,Mature Sand Pine Scrub,
UF17191,Ochrotomys_nuttalli,M,165,81,18.8,15.51,2.76,1.1,,2.84,0.77,12.92,3.09,2.51,0.89,16.52,1.93,0.41,13.82,3.57,2.28,6.94,2.67,Putnam,CFBC Site K,Mature Sand Pine Scrub,
UF17194,Ochrotomys_nuttalli,M,168,73,,14.9,2.79,1.15,18.87,2.81,0.82,12.18,3.11,2.42,0.91,15.58,1.78,0.48,13.07,3.51,2.18,6.55,2.61,Putnam,CFBC Site K,Mature Sand Pine Scrub,
UF17195,Ochrotomys_nuttalli,M,170,80,,15.07,2.83,1.28,,2.71,0.78,12.53,3.13,2.47,0.93,16.39,2.03,0.49,13.64,3.55,2.3,6.86,2.83,Putnam,CFBC Site K,Mature Sand Pine Scrub,
UF31664,Ochrotomys_nuttalli,F,164,77,20.2,15.25,2.86,1.27,,2.8,,12.53,3.32,2.53,1.14,16.23,2.06,0.51,13.41,3.69,2.28,7.37,2.85,Manatee,Little Manatee River South Fork Tract,Wet Flatwoods,
UF31665,Ochrotomys_nuttalli,F,166,80,19.2,16.64,2.65,1.33,21.22,2.73,0.83,13.55,3.19,2.58,1.04,16.86,1.91,0.54,14.33,3.76,2.33,7.36,2.76,Manatee,Little Manatee River South Fork Tract,Wet Flatwoods,
UF23194,Ochrotomys_nuttalli,F,128,61,14,13.76,2.64,1.14,18.17,2.54,0.82,11.71,3.06,2.48,0.96,,,,,,,6.56,2.62,Citrus,Homosassa Springs Attraction Area,Hydric Hammock,No Ulnas or Hands in vial.
UF17199,Ochrotomys_nuttalli,M,175,84,21.4,16.05,2.78,1.29,,2.81,0.84,13.35,3.13,2.52,0.98,16.84,1.96,0.53,14.14,3.66,2.45,7.21,2.91,Marion,CFBC Site 61,Sandhill,
UF17233,Ochrotomys_nuttalli,M,168,79,,15.18,2.67,1.05,,2.76,,12.68,3.05,2.45,0.89,16.21,1.92,0.47,13.61,3.28,2.27,7.32,2.79,Marion,CFBC Site E,Sand Pine Scrub,
UF17202,Peromyscus_gossypinus,F,180,76,31.2,18.8,3.2,1.89,,3.3,1.27,14.34,3.33,2.92,1.21,17.68,2.16,0.66,14.79,3.98,2.26,8.52,2.99,Marion,"CFBC 903, Site I",Xeric Hammock,
UF17210,Peromyscus_gossypinus,M,181,79,31.3,18.43,3.31,1.68,,3.51,1.25,14.11,3.41,2.96,1.12,17.62,2.19,0.56,14.65,3.95,2.28,9.24,3.04,Marion,"CFBC 1446, Site 125",Mesic Hammock,
UF17212,Peromyscus_gossypinus,M,170,77,29.2,19.19,3.12,1.51,,3.1,1.19,14.61,3.21,2.63,1.13,17.91,2.13,0.62,15.22,4.03,2.41,8.85,3.03,Marion,"CFBC 1441, Site 125",Mesic Hammock,
UF17048,Peromyscus_gossypinus,F,165,73,35.1,19.31,3.2,1.93,23.32,3.36,1.34,14.14,3.55,2.84,1.2,17.75,2.1,0.65,14.85,3.89,2.51,8.62,3.02,Marion,"CFBC 820, Site 54",Xeric Hammock,
UF17208,Peromyscus_gossypinus,F,181,84,34.8,19.79,3.23,1.87,24.23,3.38,1.23,15.04,3.29,2.98,1.21,18.49,2.19,0.7,15.67,4.29,2.55,9.32,3.31,Marion,"CFBC 1431, Site 125",Mesic Hammock,
UF17305,Peromyscus_gossypinus,M,162,71,28.5,18.04,3.17,1.52,22.32,3.32,1.06,13.69,3.44,2.77,1.05,17.46,2.22,0.58,14.61,4.32,2.52,9.29,3.39,Marion,"CFBC 303, Site 12",Mesic Hammock,
UF17242,Peromyscus_gossypinus,F,178,74,24,19.06,3.07,1.82,23.43,3.27,1.27,14.43,3.29,2.72,1.17,,2.27,0.66,,3.79,2.41,8.49,3.09,Levy,"CFBC 663, Site 36",Coastal Hammock,
UF17245,Peromyscus_gossypinus,F,183,70,51.9,19.27,3.19,1.78,23.97,3.3,1.17,14.99,3.42,2.82,1.14,,2.25,0.68,,3.72,2.22,8.55,3.01,Levy,"CFBC 1013, Site 86",Coastal Hammock,
UF17250,Peromyscus_gossypinus,F,170,76,37.3,19.35,3.31,1.75,23.97,3.26,1.19,14.8,3.49,2.69,1.09,17.87,2.37,0.69,14.83,3.98,,8.71,,Citrus,"CFBC 1337, Site 116",Hydric Hammock,
UF22943,Peromyscus_gossypinus ,F,164,70,25,16.81,3.06,1.43,21.42,3.06,0.93,13.28,3.14,2.66,0.98,16.36,2.1,0.49,13.52,3.51,2.22,8.61,2.93,Highlands,Archbold Biological Station,Scrubby Flatwoods/Scrub,
UF22949,Peromyscus_gossypinus ,M,164,70,23,18.11,3.11,1.39,22.85,3.31,0.97,14.05,3.35,2.79,0.91,17.26,2.16,0.51,14.39,4.2,2.57,8.86,3.18,Highlands,Archbold Biological Station,Scrubby Flatwoods/Scrub,
UF22981,Peromyscus_gossypinus ,M,165,70,25,16.86,3.05,1.46,21.54,3.27,0.95,13.41,3.48,2.8,1.02,16.73,2.13,0.54,14.04,4.13,2.34,8.88,2.93,Highlands,Archbold Biological Station,Scrubby Flatwoods/Scrub,
UF23026,Peromyscus_gossypinus ,F,192,83,31.5,20.57,3.17,1.54,23.82,3.37,1.16,15.52,3.73,2.98,1.12,17.96,2.31,0.67,14.94,4.01,2.36,8.72,3.1,Highlands,Archbold Biological Station,Scrubby Flatwoods/Scrub,
UF23036,Peromyscus_gossypinus ,M,151,60,22,16.56,3.13,1.47,21.05,3.09,0.98,13.14,3.19,2.62,0.94,16.79,2.17,0.53,13.9,3.94,2.35,8.46,2.99,Highlands,Archbold Biological Station,Scrubby Flatwoods/Scrub,
UF23047,Peromyscus_gossypinus ,F,165,71,24.4,17.37,3.19,1.54,21.23,3.2,0.94,13.04,3.54,2.74,0.97,16.65,2.22,0.55,13.93,4.08,2.3,8.59,3.13,Highlands,Archbold Biological Station,Scrubby Flatwoods/Scrub,
UF23040,Peromyscus_gossypinus ,F,169,71,26.7,17.63,3.14,1.38,21.62,3.26,0.94,13.32,3.22,2.65,1.01,16.56,2.14,0.52,13.82,3.77,2.29,8.22,2.89,Highlands,Archbold Biological Station,Scrubby Flatwoods/Scrub,
UF22961,Peromyscus_gossypinus ,F,180,80,26.6,18.41,3.19,1.48,23.18,3.29,1.14,14.21,3.36,2.84,1.08,17.55,2.11,0.51,14.63,4.01,2.36,8.92,2.98,Highlands,Archbold Biological Station,Scrubby Flatwoods/Scrub,
UF23000,Peromyscus_gossypinus ,M,176,76,31.9,17.49,3.14,1.47,22.65,3.16,0.95,13.43,3.23,2.71,1.01,16.96,2.04,0.54,14.34,3.98,2.32,8.73,3.03,Highlands,Archbold Biological Station,Scrubby Flatwoods/Scrub,
UF22969,Peromyscus_gossypinus ,F,155,64,20.8,15.58,3.06,1.35,19.67,2.96,0.91,11.86,3.03,2.59,0.87,15.71,2.01,0.47,13.02,3.83,2.28,8.63,2.93,Highlands,Archbold Biological Station,Scrubby Flatwoods/Scrub,
UF38866,Peromyscus_gossypinus,M,166,68,24.4,17.18,3.08,1.43,22.07,3.32,0.89,13.68,3.29,2.8,0.96,16.88,2.17,0.51,13.95,4.09,2.41,8.38,3.09,Osceola,DeLuca Preserve,Mesic Flatwoods,
UF38868,Peromyscus_gossypinus,F,172,75,25.8,18.07,3.22,1.54,22.48,3.29,0.99,14.21,3.26,2.79,0.93,16.96,2.19,0.48,13.98,3.85,2.26,8.06,3.01,Osceola,DeLuca Preserve,Boundary between Mesic Flatwoods and Scrub,
UF38855,Peromyscus_gossypinus,M,173,79,25.5,17.68,3.11,1.47,22.47,3.2,0.92,14.16,3.35,2.82,0.98,16.94,2.23,0.56,14.03,4.25,2.46,8.91,3.22,Osceola,DeLuca Preserve,Scrub,
UF37510,Peromyscus_gossypinus,F,174,81,29,18.01,3.26,1.66,,3.52,,13.35,3.39,2.73,1.08,17.11,2.18,0.61,14.08,4.37,2.43,9.22,3.32,Alachua,Austin Cary Forest,Boundary between Mesic Flatwoods and Coniferous Plantation,
UF32733,Peromyscus_gossypinus,M,169,71,32,19.74,3.39,1.63,23.47,3.55,1.02,15.28,3.54,2.88,1.07,17.97,2.29,0.64,15.04,4.31,2.51,8.97,3.16,Volusia,"Lake Woodruff National Wildlife Refuge, Volusia Tract",Mixed Wetland Hardwoods,
UF34479,Peromyscus_gossypinus,F,162,74,23.5,19.34,3.07,1.59,23.13,3.21,1.07,15.03,3.23,2.84,1.04,17.43,2.05,0.6,14.62,4.09,2.42,8.77,3.13,Putnam,Ordway Swisher Biological Station,Boundary between Sandhill and Hydric Pine Flatwoods,
UF16934,Peromyscus_polionotus,M,135,61,,13.39,2.31,1.01,,2.33,,10.82,2.53,2.16,0.69,13.99,1.67,0.38,11.91,2.99,1.78,7.75,2.54,Marion,"CFBC 590, Site 30",Xeric Hammock,
UF1730,Peromyscus_polionotus,M,132,54,,14.48,2.44,1.11,17.23,2.6,0.78,11.15,2.74,2.28,0.81,13.88,1.73,0.43,11.64,3.08,1.94,7.54,2.49,Brevard,"BAB 176, Near Oak Lodge",Mixed Hardwood-Coniferous,
UF2877,Peromyscus_polionotus,F,148,59,17,15.81,2.59,1.26,18.67,2.78,0.86,12.04,2.92,2.31,0.93,15.25,1.85,0.47,12.55,,,8.07,2.8,Brevard,"BAB 172, Oak Lodge",Mixed Hardwood-Coniferous,
UF23388,Peromyscus_polionotus,F,132,51,14,14.12,2.42,1.12,17.06,2.46,0.74,11.09,2.52,2.18,0.82,13.79,1.61,0.43,11.55,3.13,1.93,7.56,2.48,Highlands,Archbold Biological Station,Scrubby Flatwoods/Scrub,
UF23357,Peromyscus_polionotus,F,127,50,14,13.32,2.29,1.06,16.64,2.4,0.75,10.52,2.5,2.16,0.77,13.61,1.57,0.41,11.52,3.07,1.89,7.44,2.46,Highlands,Archbold Biological Station,Scrubby Flatwoods/Scrub,
UF23379,Peromyscus_polionotus,M,123,48,13.3,14.05,2.25,1.14,17.09,2.32,0.81,10.98,2.46,2.13,0.79,13.56,1.49,0.38,11.46,3.02,1.87,7.31,2.5,Highlands,Archbold Biological Station,Scrubby Flatwoods/Scrub,
UF23090,Peromyscus_polionotus,F,113,44,10.2,12.03,2.23,0.93,15.33,2.08,0.66,9.74,2.41,2.07,0.63,12.78,1.6,0.36,10.71,3.09,1.77,7.06,2.29,Highlands,Archbold Biological Station,Scrubby Flatwoods/Scrub,
UF23367,Peromyscus_polionotus,M,123,48,13.5,13.14,2.2,1.06,16.99,2.29,0.79,10.71,2.59,2.11,0.78,13.77,1.63,0.44,11.53,3.06,1.91,7.53,2.45,Highlands,Archbold Biological Station,Scrubby Flatwoods/Scrub,
UF23076,Peromyscus_polionotus,F,119,51,12.9,13.18,2.27,1.08,16.73,2.39,0.73,10.78,2.48,2.23,0.74,13.61,1.68,0.4,11.34,2.99,1.79,7.39,2.44,Highlands,Archbold Biological Station,Scrubby Flatwoods/Scrub,
UF23359,Peromyscus_polionotus,F,137,55,16.5,14.49,2.41,1.16,18.02,2.52,0.84,11.46,2.66,2.32,0.84,14.34,1.72,0.48,12.25,3.43,2.04,7.89,2.63,Highlands,Archbold Biological Station,Scrubby Flatwoods/Scrub,
UF23086,Peromyscus_polionotus,F,124,49,12.7,13.48,2.37,1.08,17.62,2.59,0.79,10.86,2.49,2.17,0.64,14.12,1.64,0.42,11.97,3.28,1.91,7.99,2.43,Highlands,Archbold Biological Station,Scrubby Flatwoods/Scrub,
UF23398,Peromyscus_polionotus,F,126,51,15.5,13.47,2.27,1.03,17.28,2.42,0.65,10.94,2.54,2.26,0.76,13.99,1.69,0.48,11.85,3.35,1.89,7.88,2.44,Highlands,Archbold Biological Station,Scrubby Flatwoods/Scrub,
UF23088,Peromyscus_polionotus,F,122,51,12,12.58,2.35,0.91,16.16,2.53,0.69,10.37,2.47,2.18,0.63,13.38,1.62,0.39,11.15,3.11,1.97,7.39,2.49,Highlands,Archbold Biological Station,Scrubby Flatwoods/Scrub,
UF33347,Peromyscus_polionotus,F,116,13,7,12.16,2.37,0.98,16.1,2.36,0.7,10.03,2.62,2.22,0.73,13.27,1.58,0.41,11.03,3.36,,7.66,,Highlands,McJunkin Unit H #6,Scrub,Tail length and weight seem suspicious for an adult. Actual bone measurements are relatively normal. No phalanxes attached to either hand or foot.
UF33348,Peromyscus_polionotus,F,109,46,9,12.48,2.31,0.87,,2.49,,10.26,2.58,2.03,0.65,13.34,1.55,0.4,11.18,3.19,1.88,,,Highlands,McJunkin Unit H #7,Scrub,No foot (either side) present in vial.
UF33349,Peromyscus_polionotus,M,111,50,9,,,1.04,,2.11,,9.91,2.51,1.92,0.67,12.86,1.51,0.44,10.74,3.18,1.86,7.59,2.45,Highlands,McJunkin Unit H #15,Scrubby Flatwoods,Femur broken and the distal end was not present in vial. Same with distal half of tibia.
UF33353,Peromyscus_polionotus,M,110,47,11,12.99,2.26,1.05,16.48,2.34,0.76,10.41,2.47,2.09,0.74,13.36,1.48,0.41,,3.15,1.89,7.43,2.49,Highlands,McJunkin Unit  SM #15,Scrubby Flatwoods,
UF33340,Peromyscus_polionotus,M,111,51,9,12.47,2.3,1.07,,2.34,0.78,10.26,2.65,2.18,0.73,,1.61,0.49,,3.38,1.99,7.58,2.6,Highlands,McJunkin Unit SM #13,Mesic Flatwoods,Both ulnas broken.
UF33341,Peromyscus_polionotus,M,126,47,9,12.82,2.34,0.96,16.64,2.44,0.68,10.32,2.5,2.16,0.71,13.83,1.57,0.43,11.66,3.33,,7.73,2.61,Highlands,Lake Placid Scrub Unit SM #27,Boundary between Sandhill and Scrub,
UF33443,Peromyscus_polionotus,M,127,46,10.5,13.23,2.32,1.03,17.06,2.52,0.79,10.65,2.63,2.19,0.76,13.56,1.78,0.51,11.17,3.21,1.78,7.56,2.42,Highlands,Silver Lake Unit SM #4,Boundary between Scrubby Flatwoods and Sandhill,
UF33446,Peromyscus_polionotus,F,107,48,9,12.29,2.25,0.96,,2.31,,10.14,2.61,2.11,0.69,13.02,1.69,0.47,10.85,3.04,1.82,7.54,2.38,Highlands,Silver Lake Unit SM #5,Sandhill,
UF33447,Peromyscus_polionotus,F,117,48,12,13.91,2.08,1.04,,2.32,,10.98,2.37,2.03,0.75,13.97,1.58,0.42,11.78,3.26,1.86,7.53,2.4,Highlands,Silver Lake Unit SM #12,Sandhill,
UF32218,Peromyscus_polionotus,F,120,52,13,13.49,2.18,1.05,16.89,2.31,0.87,10.61,2.62,2.14,0.74,13.73,1.77,0.48,11.35,,,7.58,2.44,Highlands,Silver Lake Unit SM #8,Sandhill,The hand (and fingers) were too covered by dried hair and skin to actually measure.
UF33845,Peromyscus_polionotus,F,127,43,17,15.28,2.47,1.19,,2.48,0.79,11.78,2.69,2.24,0.83,15.09,1.76,0.52,12.79,3.16,1.83,7.63,2.43,Lake,Ocala National Forest,Boundary between Open Rural and Scrub,
UF37399,Peromyscus_polionotus,M,120,44,12.4,13.65,2.34,0.97,16.78,2.39,0.68,10.97,2.57,2.11,0.71,13.75,1.69,0.45,11.52,3.05,1.74,7.52,2.44,Walton,Topsail Hill Preserve State Park,Beach Dune,
UF17182,Podomys_floridanus,F,186,88,,20.47,3.58,1.77,,3.63,1.24,14.86,3.61,3.06,1.17,19.45,2.51,0.67,15.98,4.23,2.54,9.83,3.54,Marion,"CFBC1440, Site 125",Mesic Hammock,
UF17209,Podomys_floridanus,M,192,91,31.8,19.29,3.47,1.62,24.13,3.42,1.06,15.09,3.47,2.93,1.04,19.14,2.29,0.68,15.91,4.05,2.57,9.56,3.51,Marion,"CFBC 1434, Site 125",Mesic Hammock,
UF17187,Podomys_floridanus,F,175,80,33,20.08,3.37,1.58,,3.36,1.22,15.06,3.35,2.88,1.12,19.07,2.33,0.65,15.77,3.89,2.26,9.29,3.09,Marion,"CFBC 1436, Site 125",Mesic Hammock,
UF17188,Podomys_floridanus,F,168,78,33.4,18.49,3.33,1.59,22.29,3.24,1.14,13.79,3.28,2.77,1.03,18.15,2.21,0.62,14.97,3.97,2.24,9.2,3.24,Marion,"CFBC 1439, Site 125",Xeric Hammock,
UF16931,Podomys_floridanus,F,199,93,40.2,19.79,3.66,1.63,24.56,3.58,1.2,14.92,3.64,3.02,0.97,19.47,2.62,0.63,15.95,4.31,2.66,10.71,3.88,Marion,"CFBC 1462, Site I",Mesic Hammock,
UF17186,Podomys_floridanus,M,194,88,46.8,20.03,3.78,1.69,,3.73,1.29,15.49,3.66,3.11,1.14,19.76,2.53,0.68,16.28,4.13,2.43,9.67,3.48,Marion,"CFBC1433, Site 125",Mesic Hammock,
UF17189,Podomys_floridanus,F,184,80,42.8,19.57,3.54,1.57,,3.55,1.18,14.99,3.34,2.88,1.02,,2.21,0.62,,4.21,2.37,10.09,3.56,Marion,"CFBC1445, Site 125",Mesic Hammock,
UF32165,Podomys_floridanus,F,157,62,36.2,21.18,3.66,1.78,25.03,3.59,1.21,16.58,3.71,3.24,1.14,19.62,2.51,0.69,16.53,4.53,2.45,10.55,3.64,Highlands,"Silver Lake, SM #3",Xeric Hammock,
UF33840,Podomys_floridanus,F,170,82,35,20.24,3.67,1.86,23.69,3.65,1.33,15.11,3.73,3.21,1.19,,,0.64,,4.44,2.48,10.21,3.66,Orange,Split Oak WMA,Successional Hardwood,
UF32164,Podomys_floridanus,M,165,82,27.4,19.01,3.45,1.52,,3.53,1.16,14.64,3.46,2.92,0.96,18.84,2.34,0.62,15.58,4.56,2.58,,,Highlands,"Silver Lake, SM #3",Xeric Hammock,
UF31431,Podomys_floridanus,F,180,82,34.8,20.46,3.71,1.72,24.7,3.71,1.23,15.73,3.79,3.11,1.08,20.11,2.66,0.68,16.44,4.64,,10.67,3.82,Highlands,"McJunkin Unit, SM #13",Mesic Flatwoods,
UF33828,Podomys_floridanus,M,165,80,36,18.86,3.44,1.74,,3.46,,13.98,3.46,2.94,1.11,18.31,2.32,0.66,15.43,4.05,2.43,10.06,,Manatee,Duette Preserve,Mesic Flatwoods,
UF33813,Podomys_floridanus,M,148,76,18,14.89,3.31,1.36,20.07,3.2,1.06,12.77,3.45,2.83,1.03,16.56,2.06,0.59,13.39,4.27,2.56,8.75,3.53,Lake,Ocala National Forest,Sandhill,
UF31667,Podomys_floridanus,F,165,75,24.4,18.85,3.69,1.56,23.32,3.67,1.14,14.56,3.76,3.22,1.07,19.01,2.34,0.64,15.88,4.6,2.73,10.61,3.75,Highlands,Archbold Biological Station,Snadhill,
UF37438,Podomys_floridanus,F,172,76,30,19.76,3.15,1.47,23.07,3.34,1.24,14.99,3.47,2.85,1.09,18.28,2.43,0.66,15.26,3.99,2.36,9.57,3.34,Clay,Camp Blanding,Sandhill,
UF22809,Podomys_floridanus,F,180,79,29.1,18.52,3.69,1.7,22.22,3.56,1.12,14.57,3.77,3.26,1.19,18.33,1.82,0.53,15.22,4.41,2.58,10.33,3.67,Highlands,Archbold Biologcial Station,Scrubby Flatwoods/Scrub,
UF22887,Podomys_floridanus,M,201,94,37.5,19.04,3.71,1.76,23.76,3.64,1.24,15.22,3.68,3.21,1.19,19.11,2.29,0.65,15.72,4.49,2.6,10.43,3.77,Highlands,Archbold Biological Station,Scrubby Flatwoods/Scrub,
UF22855,Podomys_floridanus,F,205,94,42.9,21.48,3.74,1.82,25.88,3.8,1.32,16.04,3.7,3.19,1.2,20.79,2.55,0.76,17.12,4.65,2.83,10.83,3.86,Highlands,Archbold Biological Station,Scrubby Flatwoods/Scrub,
UF22847,Podomys_floridanus,F,199,91,38.5,20.87,3.76,1.55,24.68,3.65,1.17,15.74,3.64,3.09,1.05,19.85,2.75,0.71,16.21,4.51,2.53,10.34,3.51,Highlands,Archbold Biological Station,Scrubby Flatwoods/Scrub,
UF22906,Podomys_floridanus,M,190,89,31.2,19.61,3.67,1.78,23.9,3.51,1.13,15.06,3.61,3.11,1.21,19.12,2.52,0.71,15.86,4.52,2.59,10.76,3.65,Highlands,Archbold Biological Station,Scrubby Flatwoods/Scrub,
UF22873,Podomys_floridanus,F,185,86,32.2,19.21,3.39,1.6,22.62,3.32,1.21,14.34,3.54,3.02,1.07,18.17,2.41,0.61,14.99,4.66,2.54,10.17,3.57,Hiighlands,Archbold Biological Station,Scrubby Flatwoods/Scrub,
UF22860,Podomys_floridanus,F,188,,31.3,19.26,3.84,1.53,24.03,3.47,1.14,15.01,3.68,3.03,1.03,18.68,2.51,0.59,15.45,4.51,2.52,10.34,3.69,Highlands,Archbold Biological Station,Scrubby Flatwoods/Scrub,
UF22862,Podomys_floridanus,F,206,91,39.7,22.46,3.73,1.86,25.72,3.83,1.36,16.33,3.86,3.27,1.3,20.21,2.69,0.72,16.72,4.53,2.73,10.7,3.92,Highlands,Archbold Biological Station,Scrubby Flatwoods/Scrub,
UF22891,Podomys_floridanus,F,198,93,38.1,20.39,3.89,1.74,24.76,3.76,1.14,15.7,3.67,3.13,1.08,18.89,2.64,0.68,15.56,4.78,2.73,11.08,3.89,Highlands,Archbold Biological Station,Scrubby Flatwoods/Scrub,
UF22904,Podomys_floridanus,F,217,99,46.3,23.53,3.92,1.84,27.11,3.91,1.37,17.32,3.94,3.43,1.18,21.29,2.71,0.71,17.62,4.68,2.83,11.03,4.07,Highlands,Archbold Biological Station,Scrubby Flatwoods/Scrub,
